"Dove","Regione","Elettori","Votanti","Percentuale votanti","Schede nulle","Schede bianche","Schede contestate","Coalizioni e liste","Voti","Percentuale voti","Seggi","Candidati uninominali eletti","Totale"
"CAMERA","FRIULIVENEZIA GIULIA",936273,619935,66.21,19633,8427,80,"ALTERNATIVA PER L'ITALIA  NO GREEN PASS",2342,"0.4",NA,NA,NA
"CAMERA","FRIULIVENEZIA GIULIA",936273,619935,66.21,19633,8427,80,"MASTELLA NOI DI CENTRO EUROPEISTI",726,"0.12",NA,NA,NA
"CAMERA","LAZIO 1",2867859,1844622,64.32,35605,14636,219,"FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC",731889,"40.6","6",7,13
"CAMERA","LAZIO 1",2867859,1844622,64.32,35605,14636,219,"FRATELLI D'ITALIA CON GIORGIA MELONI",539706,"29.94","4",NA,NA
"CAMERA","LAZIO 1",2867859,1844622,64.32,35605,14636,219,"FORZA ITALIA",93761,"5.2","1",NA,NA
"CAMERA","LAZIO 1",2867859,1844622,64.32,35605,14636,219,"LEGA PER SALVINI PREMIER",89770,"4.98","1",NA,NA
"CAMERA","LAZIO 1",2867859,1844622,64.32,35605,14636,219,"NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC",8652,"0.48",NA,NA,NA
"CAMERA","LAZIO 1",2867859,1844622,64.32,35605,14636,219,"PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO",538188,"29.85","5",2,7
"CAMERA","LAZIO 1",2867859,1844622,64.32,35605,14636,219,"PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA",387929,"21.52","4",NA,NA
"CAMERA","LAZIO 1",2867859,1844622,64.32,35605,14636,219,"ALLEANZA VERDI E SINISTRA",79120,"4.39","1",NA,NA
