Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;SICILIA 2;SICILIA 2 - P03;ITALEXIT PER L'ITALIA;SABRINA ZACCARIA
CAMERA DEI DEPUTATI;SARDEGNA;SARDEGNA - P01;ITALEXIT PER L'ITALIA;GIANMARIO MUGGIRI
CAMERA DEI DEPUTATI;SARDEGNA;SARDEGNA - P01;ITALEXIT PER L'ITALIA;SHAILA CAPPUCCIO
CAMERA DEI DEPUTATI;SARDEGNA;SARDEGNA - P01;ITALEXIT PER L'ITALIA;JONATA CANCEDDA
CAMERA DEI DEPUTATI;SARDEGNA;SARDEGNA - P01;ITALEXIT PER L'ITALIA;MARINA TOLU
CAMERA DEI DEPUTATI;TRENTINO-ALTO ADIGE/SÜDTIROL;TRENTINO-ALTO ADIGE/SÜDTIROL - P01;ITALEXIT PER L'ITALIA;STEFANO PUZZER
CAMERA DEI DEPUTATI;TRENTINO-ALTO ADIGE/SÜDTIROL;TRENTINO-ALTO ADIGE/SÜDTIROL - P01;ITALEXIT PER L'ITALIA;CONCETTA CASCHETTO
CAMERA DEI DEPUTATI;TRENTINO-ALTO ADIGE/SÜDTIROL;TRENTINO-ALTO ADIGE/SÜDTIROL - P01;ITALEXIT PER L'ITALIA;GENNARO BRANCACCIO
SENATO;PIEMONTE;PIEMONTE - P01;ITALEXIT PER L'ITALIA;NUNZIA ALESSANDRA SCHILIRO'
SENATO;PIEMONTE;PIEMONTE - P01;ITALEXIT PER L'ITALIA;CARLO MARTELLI
SENATO;PIEMONTE;PIEMONTE - P01;ITALEXIT PER L'ITALIA;SILVIA MARTINI
SENATO;PIEMONTE;PIEMONTE - P01;ITALEXIT PER L'ITALIA;MARCO GALIZIA
SENATO;PIEMONTE;PIEMONTE - P02;ITALEXIT PER L'ITALIA;FRANCO QUAGLIA
SENATO;PIEMONTE;PIEMONTE - P02;ITALEXIT PER L'ITALIA;CHIARA CHIRIO
SENATO;PIEMONTE;PIEMONTE - P02;ITALEXIT PER L'ITALIA;MAURIZIO SCALABRIN
SENATO;PIEMONTE;PIEMONTE - P02;ITALEXIT PER L'ITALIA;SILVIA MARTINI
SENATO;LOMBARDIA;LOMBARDIA - P01;ITALEXIT PER L'ITALIA;MASSIMO ZANELLO
SENATO;LOMBARDIA;LOMBARDIA - P01;ITALEXIT PER L'ITALIA;MARINA FUMAGALLI
SENATO;LOMBARDIA;LOMBARDIA - P01;ITALEXIT PER L'ITALIA;FABIO MERONI
SENATO;LOMBARDIA;LOMBARDIA - P01;ITALEXIT PER L'ITALIA;MARA BAILA
SENATO;LOMBARDIA;LOMBARDIA - P02;ITALEXIT PER L'ITALIA;GIANLUCA LUCIANO
SENATO;LOMBARDIA;LOMBARDIA - P02;ITALEXIT PER L'ITALIA;ELEONORA TEMPESTA
